,Location Name,Zip,Borough Name,# Schools,Number of Major Crimes,Number of Other Crimes,Number of Non-Criminal Crimes,Number of Property Crimes,Number of Violent Crimes,Average of Major Crimes,Average of Other Crimes, Average of Non-Criminal Crimes,Average of Property Crimes,Average of Violent Crimes,Total Crimes
0,City Knoll Middle School,10001,MANHATTAN,1,0.0,0.0,0.0,0.0,0.0,0.24,0.71,1.71,0.51,0.32,0.0
1,Satellite Academy High School,10001,MANHATTAN,1,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,1.0
2,P.S. 033 Chelsea Prep,10001,MANHATTAN,1,1.0,0.0,2.0,1.0,0.0,0.28,1.11,1.74,0.75,0.53,4.0
3,P.S. 033 Chelsea Prep,10001,MANHATTAN,1,1.0,1.0,0.0,2.0,0.0,0.31,1.12,1.82,0.79,0.51,4.0
4,Satellite Academy High School,10001,MANHATTAN,1,0.0,2.0,1.0,2.0,0.0,0.27,1.11,1.38,0.8,0.48,5.0
5,City Knoll Middle School,10001,MANHATTAN,1,0.0,0.0,0.0,0.0,0.0,0.36,0.76,1.17,0.64,0.37,0.0
6,M.S. 260 Clinton School Writers & Artists,10001,MANHATTAN,1,0.0,0.0,0.0,0.0,0.0,0.35,1.06,1.09,0.73,0.5,0.0
7,Satellite Academy High School,10001,MANHATTAN,1,0.0,2.0,1.0,2.0,0.0,0.35,1.06,1.09,0.73,0.5,5.0
8,P.S. 033 Chelsea Prep,10001,MANHATTAN,1,0.0,0.0,0.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,0.0
9,198 FORSYTH STREET CONSOLIDATED LOCATION,10002,MANHATTAN,2,0.0,5.0,3.0,4.0,0.0,0.27,0.9,1.67,0.63,0.44,12.0
10,Cascades High School,10002,MANHATTAN,2,,,,,,,,,,,0.0
11,University Neighborhood High School,10002,MANHATTAN,1,0.0,3.0,5.0,0.0,1.0,0.27,0.9,1.67,0.63,0.44,9.0
12,350 GRAND STREET CONSOLIDATED LOCATION,10002,MANHATTAN,5,2.0,5.0,12.0,6.0,1.0,0.9,3.5,7.25,2.55,1.45,26.0
13,High School for Dual Language and Asian Studies,10002,MANHATTAN,5,,,,,,,,,,,0.0
14,New Design High School,10002,MANHATTAN,5,,,,,,,,,,,0.0
15,Lower Manhattan Arts Academy,10002,MANHATTAN,5,,,,,,,,,,,0.0
16,"Urban Assembly Academy of Government and Law, The",10002,MANHATTAN,5,,,,,,,,,,,0.0
17,Essex Street Academy,10002,MANHATTAN,5,,,,,,,,,,,0.0
18,Forsyth Satellite Academy,10002,MANHATTAN,2,,,,,,,,,,,0.0
19,P.S. 188 The Island School,10002,MANHATTAN,2,1.0,3.0,3.0,1.0,3.0,0.27,0.9,1.67,0.63,0.44,11.0
20,P.S. 142 Amalia Castro,10002,MANHATTAN,2,0.0,2.0,1.0,2.0,0.0,0.27,0.9,1.67,0.63,0.44,5.0
21,P.S. 140 Nathan Straus,10002,MANHATTAN,1,0.0,2.0,5.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,7.0
22,P.S. 184m Shuang Wen,10002,MANHATTAN,1,0.0,1.0,2.0,1.0,0.0,0.28,1.11,1.74,0.75,0.53,4.0
23,293 EAST BROADWAY CONSOLIDATED LOCATION,10002,MANHATTAN,2,1.0,2.0,5.0,1.0,2.0,0.27,0.9,1.67,0.63,0.44,11.0
24,P.S. 137 John L. Bernstein,10002,MANHATTAN,2,,,,,,,,,,,0.0
25,P.S. 134 Henrietta Szold,10002,MANHATTAN,2,,,,,,,,,,,0.0
26,100 HESTER STREET CONSOLIDATED LOCATION,10002,MANHATTAN,3,2.0,4.0,6.0,5.0,1.0,0.57,2.12,3.64,1.39,1.05,18.0
27,EMMA LAZARUS HIGH SCHOOL,10002,MANHATTAN,3,,,,,,,,,,,0.0
28,Pace High School,10002,MANHATTAN,3,,,,,,,,,,,0.0
29,P.S. 124 Yung Wing,10002,MANHATTAN,1,0.0,2.0,0.0,1.0,1.0,0.38,1.71,2.38,0.98,0.82,4.0
30,M.S. 131,10002,MANHATTAN,3,,,,,,,,,,,0.0
31,P.S. 110 Florence Nightingale,10002,MANHATTAN,1,0.0,0.0,0.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,0.0
32,Bard High School Early College,10002,MANHATTAN,1,0.0,0.0,1.0,0.0,0.0,0.28,1.11,1.74,0.75,0.53,1.0
33,220 HENRY STREET CONSOLIDATED LOCATION,10002,MANHATTAN,4,0.0,0.0,4.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,4.0
34,Manhattan Charter School II,10002,MANHATTAN,4,,,,,,,,,,,0.0
35,"Collaborative Academy of Science, Technology, & La",10002,MANHATTAN,4,,,,,,,,,,,0.0
36,University Neighborhood Middle School,10002,MANHATTAN,4,,,,,,,,,,,0.0
37,Henry Street School for International Studies,10002,MANHATTAN,4,,,,,,,,,,,0.0
38,P.S. 042 Benjamin Altman,10002,MANHATTAN,1,0.0,0.0,0.0,0.0,0.0,0.28,1.11,1.74,0.75,0.53,0.0
39,145 STANTON STREET CONSOLIDATED LOCATION,10002,MANHATTAN,3,1.0,9.0,12.0,7.0,1.0,0.57,2.12,3.64,1.39,1.05,30.0
40,Lower East Side Preparatory High School,10002,MANHATTAN,3,,,,,,,,,,,0.0
41,Marta Valle High School,10002,MANHATTAN,3,,,,,,,,,,,0.0
42,School for Global Leaders,10002,MANHATTAN,3,,,,,,,,,,,0.0
43,"New Explorations into Science, Technology and Math",10002,MANHATTAN,1,0.0,3.0,2.0,3.0,0.0,0.9,3.5,7.25,2.55,1.45,8.0
44,P.S. 020 Anna Silver,10002,MANHATTAN,1,1.0,3.0,4.0,1.0,3.0,0.28,1.11,1.74,0.75,0.53,12.0
45,P.S. 002 Meyer London,10002,MANHATTAN,1,0.0,1.0,0.0,1.0,0.0,0.28,1.11,1.74,0.75,0.53,2.0
46,P.S. 002 Meyer London,10002,MANHATTAN,1,0.0,0.0,1.0,0.0,0.0,0.46,1.65,2.77,1.17,0.75,1.0
47,P.S. 020 Anna Silver,10002,MANHATTAN,1,1.0,1.0,3.0,1.0,1.0,0.31,1.12,1.82,0.79,0.51,7.0
48,"New Explorations into Science, Technology and Math",10002,MANHATTAN,1,0.0,2.0,3.0,1.0,1.0,0.82,2.97,5.58,1.79,1.67,7.0
49,School for Global Leaders,10002,MANHATTAN,3,,,,,,,,,,,0.0
50,Marta Valle High School,10002,MANHATTAN,3,,,,,,,,,,,0.0
51,Lower East Side Preparatory High School,10002,MANHATTAN,3,,,,,,,,,,,0.0
52,145 STANTON STREET CONSOLIDATED LOCATION,10002,MANHATTAN,3,3.0,7.0,11.0,1.0,7.0,0.48,2.19,3.69,1.29,1.0,29.0
53,P.S. 042 Benjamin Altman,10002,MANHATTAN,1,0.0,1.0,0.0,1.0,0.0,0.46,1.65,2.77,1.17,0.75,2.0
54,Henry Street School for International Studies,10002,MANHATTAN,4,,,,,,,,,,,0.0
55,University Neighborhood Middle School,10002,MANHATTAN,4,,,,,,,,,,,0.0
56,"Collaborative Academy of Science, Technology, & La",10002,MANHATTAN,4,,,,,,,,,,,0.0
57,Manhattan Charter School II,10002,MANHATTAN,4,,,,,,,,,,,0.0
58,220 HENRY STREET CONSOLIDATED LOCATION,10002,MANHATTAN,4,0.0,8.0,3.0,4.0,4.0,0.89,3.22,5.07,2.18,1.64,19.0
59,P.S. 110 Florence Nightingale,10002,MANHATTAN,1,0.0,1.0,0.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,2.0
60,Bard High School Early College,10002,MANHATTAN,1,0.0,0.0,2.0,0.0,0.0,0.31,1.12,1.82,0.79,0.51,2.0
61,P.S. 124 Yung Wing,10002,MANHATTAN,1,0.0,0.0,0.0,0.0,0.0,0.46,1.65,2.77,1.17,0.75,0.0
62,P.S. 188 The Island School,10002,MANHATTAN,1,3.0,4.0,7.0,1.0,6.0,0.27,1.11,1.38,0.8,0.48,21.0
63,M.S. 131,10002,MANHATTAN,3,,,,,,,,,,,0.0
64,Pace High School,10002,MANHATTAN,3,,,,,,,,,,,0.0
65,EMMA LAZARUS HIGH SCHOOL,10002,MANHATTAN,3,,,,,,,,,,,0.0
66,100 HESTER STREET CONSOLIDATED LOCATION,10002,MANHATTAN,3,0.0,4.0,2.0,2.0,1.0,0.48,2.19,3.69,1.29,1.0,9.0
67,P.S. 134 Henrietta Szold,10002,MANHATTAN,2,,,,,,,,,,,0.0
68,P.S. 137 John L. Bernstein,10002,MANHATTAN,2,,,,,,,,,,,0.0
69,293 EAST BROADWAY CONSOLIDATED LOCATION,10002,MANHATTAN,2,0.0,3.0,1.0,3.0,0.0,0.27,1.11,1.38,0.8,0.48,7.0
70,P.S. 184m Shuang Wen,10002,MANHATTAN,1,1.0,2.0,0.0,3.0,0.0,0.31,1.12,1.82,0.79,0.51,6.0
71,P.S. 140 Nathan Straus,10002,MANHATTAN,1,0.0,0.0,1.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,1.0
72,P.S. 142 Amalia Castro,10002,MANHATTAN,1,1.0,0.0,4.0,0.0,1.0,0.27,1.11,1.38,0.8,0.48,6.0
73,Essex Street Academy,10002,MANHATTAN,5,,,,,,,,,,,0.0
74,"Urban Assembly Academy of Government and Law, The",10002,MANHATTAN,5,,,,,,,,,,,0.0
75,Lower Manhattan Arts Academy,10002,MANHATTAN,5,,,,,,,,,,,0.0
76,New Design High School,10002,MANHATTAN,5,,,,,,,,,,,0.0
77,High School for Dual Language and Asian Studies,10002,MANHATTAN,5,,,,,,,,,,,0.0
78,350 GRAND STREET CONSOLIDATED LOCATION,10002,MANHATTAN,5,2.0,8.0,9.0,4.0,2.0,0.95,3.35,6.9,2.5,1.45,25.0
79,University Neighborhood High School,10002,MANHATTAN,1,0.0,1.0,2.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,4.0
80,Forsyth Satellite Academy,10002,MANHATTAN,2,,,,,,,,,,,0.0
81,Cascades High School,10002,MANHATTAN,2,,,,,,,,,,,0.0
82,198 FORSYTH STREET CONSOLIDATED LOCATION,10002,MANHATTAN,2,1.0,7.0,1.0,5.0,3.0,0.27,1.11,1.38,0.8,0.48,17.0
83,Forsyth Satellite Academy,10002,MANHATTAN,2,,,,,,,,,,,0.0
84,198 FORSYTH STREET CONSOLIDATED LOCATION,10002,MANHATTAN,2,0.0,5.0,1.0,2.0,3.0,0.35,1.06,1.09,0.73,0.5,11.0
