Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate
17599.0,11757.0,7041.0,11282.0,64.105915108813
39209.0,16190.0,8978.0,20428.0,52.10028309826826
50135.0,16645.0,10897.0,25176.0,50.21641567767029
6304.0,13387.0,5960.0,4092.0,64.91116751269035
27590.0,18741.0,9266.0,12553.0,45.498368974266036
62566.0,17744.0,10283.0,29872.0,47.74478151072468
10687.0,14918.0,9002.0,5364.0,50.19182183961823
24508.0,17157.0,8762.0,11774.0,48.041455851150644
7405.0,16727.0,11935.0,4013.0,54.193112761647534
42321.0,16401.0,9101.0,22008.0,52.00255192457645
23238.0,16832.0,8072.0,13092.0,56.338755486702816
32936.0,17579.0,9738.0,15927.0,48.35742045178528
1555.0,9632.0,7690.0,922.0,59.29260450160772
23610.0,15736.0,9158.0,11506.0,48.73358746293943
17202.0,14448.0,8108.0,9961.0,57.90605743518196
28332.0,16292.0,8305.0,14903.0,52.601298884653396
38008.0,29160.0,15397.0,12709.0,33.43769732687855
5610.0,13071.0,7058.0,3551.0,63.297682709447415
14664.0,16095.0,7698.0,8200.0,55.91925804691762
3681.0,20564.0,11439.0,1597.0,43.38494974191796
11717.0,12236.0,7279.0,7737.0,66.03226081761544
19546.0,14966.0,8327.0,10869.0,55.60728537808247
40978.0,17770.0,10360.0,18522.0,45.19986334130509
16474.0,19674.0,11588.0,6476.0,39.31042855408523
41341.0,16771.0,8883.0,21976.0,53.157882005756996
15396.0,15401.0,7134.0,9164.0,59.521953754221876
24089.0,13843.0,7256.0,14529.0,60.31383619079248
26510.0,12996.0,8236.0,14802.0,55.83553376084497
8797.0,14456.0,7293.0,4982.0,56.63294304876663
40826.0,18032.0,10520.0,18834.0,46.1323666291089
37862.0,13416.0,7893.0,21724.0,57.376789393059006
14569.0,18333.0,10236.0,7047.0,48.369826343606285
26642.0,15730.0,9103.0,13864.0,52.0381352751295
48035.0,14500.0,10277.0,23993.0,49.948995524097015
32820.0,15315.0,11236.0,17330.0,52.80316879951249
31627.0,15043.0,9547.0,16122.0,50.97543238372277
38849.0,14128.0,8080.0,21573.0,55.53038688254524
31785.0,18739.0,8816.0,15639.0,49.20245398773006
12360.0,15918.0,8636.0,6151.0,49.76537216828479
5587.0,18491.0,10644.0,2752.0,49.257204224091645
36218.0,18076.0,10586.0,17824.0,49.213098459329615
56327.0,18971.0,10209.0,24547.0,43.57945567844906
88.0,14375.0,7647.0,42.0,47.72727272727273
37493.0,14487.0,8139.0,18728.0,49.950657456058465
27137.0,16532.0,10235.0,13350.0,49.19482625198069
7842.0,13960.0,7585.0,4461.0,56.885998469778116
23831.0,18207.0,10172.0,11827.0,49.62863497125593
11240.0,17489.0,8761.0,5945.0,52.8914590747331
