City,Borough,Neighborhood,Zip,Lotto Retailers,Population,Retailer per 100k
New York,Bronx,Central Bronx,10453,56.0,79606.0,70.34645629726403
New York,Bronx,Central Bronx,10457,65.0,74554.0,87.18512755854816
New York,Bronx,Central Bronx,10460,42.0,59505.0,70.58230400806656
New York,Bronx,Bronx Park and Fordham,10458,55.0,83960.0,65.50738446879465
New York,Bronx,Bronx Park and Fordham,10467,55.0,103732.0,53.02124705973085
New York,Bronx,Bronx Park and Fordham,10468,40.0,78647.0,50.86017267028622
New York,Bronx,High Bridge and Morrisania,10451,51.0,47798.0,106.6990250638102
New York,Bronx,High Bridge and Morrisania,10452,69.0,76078.0,90.69639054654434
New York,Bronx,High Bridge and Morrisania,10456,50.0,94218.0,53.06841580165149
New York,Bronx,Hunts Point and Mott Haven,10454,33.0,38203.0,86.38065073423553
New York,Bronx,Hunts Point and Mott Haven,10455,34.0,42283.0,80.41056689449661
New York,Bronx,Hunts Point and Mott Haven,10459,44.0,48351.0,91.00122024363509
New York,Bronx,Hunts Point and Mott Haven,10474,10.0,12127.0,82.46062505153789
New York,Bronx,Kingsbridge and Riverdale,10463,40.0,71360.0,56.053811659192824
New York,Bronx,Kingsbridge and Riverdale,10471,9.0,21896.0,41.103397880891485
New York,Bronx,Northeast Bronx,10466,39.0,72479.0,53.80868941348529
New York,Bronx,Northeast Bronx,10469,48.0,73870.0,64.97901719236496
New York,Bronx,Northeast Bronx,10470,15.0,15432.0,97.20062208398134
New York,Bronx,Northeast Bronx,10475,21.0,43208.0,48.60211072023699
New York,Bronx,Southeast Bronx,10461,60.0,50348.0,119.17057281321999
New York,Bronx,Southeast Bronx,10462,60.0,76756.0,78.16978477252593
New York,Bronx,Southeast Bronx,10464,1.0,4434.0,22.552999548940008
New York,Bronx,Southeast Bronx,10465,28.0,44205.0,63.34125098970705
New York,Bronx,Southeast Bronx,10472,52.0,68796.0,75.58578987150416
New York,Bronx,Southeast Bronx,10473,32.0,59609.0,53.683168649029504
