,Borough,enroll_cnt,grad_cnt,grad_pct,still_enr_cnt,still_enr_pct,dropout_cnt,dropout_pct
0,Manhattan,16392.0,13275.0,0.81,776,0.05,2018,0.12
1,Manhattan,8735.0,7433.0,0.85,303,0.03,871,0.1
2,Manhattan,7657.0,5842.0,0.76,473,0.06,1147,0.15
3,Manhattan,101.0,66.0,0.65,7,0.07,23,0.23
4,Manhattan,4248.0,3364.0,0.79,230,0.05,539,0.13
5,Manhattan,7600.0,5859.0,0.77,361,0.05,1209,0.16
6,Manhattan,2321.0,2104.0,0.91,78,0.03,126,0.05
7,Manhattan,1875.0,1656.0,0.88,96,0.05,104,0.06
8,Manhattan,247.0,226.0,0.91,4,0.02,17,0.07
9,Manhattan,13610.0,11615.0,0.85,415,0.03,1429,0.1
10,Manhattan,2782.0,1660.0,0.6,361,0.13,589,0.21
11,Manhattan,15159.0,12825.0,0.85,606,0.04,1476,0.1
12,Manhattan,1233.0,450.0,0.36,170,0.14,542,0.44
13,Manhattan,505.0,451.0,0.89,14,0.03,35,0.07
14,Manhattan,10856.0,8763.0,0.81,453,0.04,1404,0.13
15,Manhattan,5536.0,4512.0,0.82,323,0.06,614,0.11
16,Manhattan,1149.0,758.0,0.66,76,0.07,282,0.25
17,Manhattan,15243.0,12517.0,0.82,700,0.05,1736,0.11
18,Manhattan,16703.0,13380.0,0.8,1153,0.07,1841,0.11
19,Manhattan,8921.0,7570.0,0.85,463,0.05,758,0.08
20,Manhattan,7782.0,5810.0,0.75,690,0.09,1083,0.14
21,Manhattan,76.0,49.0,0.64,10,0.13,16,0.21
22,Manhattan,4194.0,3187.0,0.76,385,0.09,524,0.12
23,Manhattan,7823.0,5951.0,0.76,548,0.07,1123,0.14
24,Manhattan,2329.0,2146.0,0.92,72,0.03,96,0.04
25,Manhattan,1955.0,1752.0,0.9,117,0.06,73,0.04
26,Manhattan,326.0,295.0,0.9,21,0.06,9,0.03
27,Manhattan,13821.0,11671.0,0.84,637,0.05,1355,0.1
28,Manhattan,2882.0,1709.0,0.59,516,0.18,486,0.17
29,Manhattan,15431.0,12952.0,0.84,946,0.06,1284,0.08
30,Manhattan,1272.0,428.0,0.34,207,0.16,557,0.44
31,Manhattan,1007.0,928.0,0.92,27,0.03,46,0.05
32,Manhattan,11579.0,9196.0,0.79,782,0.07,1335,0.12
33,Manhattan,5124.0,4184.0,0.82,371,0.07,506,0.1
34,Manhattan,1282.0,826.0,0.64,129,0.1,299,0.23
35,Manhattan,15421.0,12554.0,0.81,1024,0.07,1542,0.1
36,Manhattan,16427.0,12295.0,0.75,2831,0.17,1122,0.07
37,Manhattan,8884.0,7121.0,0.8,1223,0.14,464,0.05
38,Manhattan,7543.0,5174.0,0.69,1608,0.21,658,0.09
39,Manhattan,83.0,65.0,0.78,14,0.17,4,0.05
40,Manhattan,4032.0,2789.0,0.69,901,0.22,292,0.07
41,Manhattan,7668.0,5375.0,0.7,1498,0.2,682,0.09
42,Manhattan,2273.0,2006.0,0.88,174,0.08,87,0.04
43,Manhattan,2065.0,1805.0,0.87,209,0.1,42,0.02
44,Manhattan,306.0,255.0,0.83,35,0.11,15,0.05
45,Manhattan,13613.0,10804.0,0.79,1884,0.14,820,0.06
46,Manhattan,2814.0,1491.0,0.53,947,0.34,302,0.11
47,Manhattan,14968.0,11829.0,0.79,2276,0.15,726,0.05
48,Manhattan,1459.0,466.0,0.32,555,0.38,396,0.27
49,Manhattan,984.0,845.0,0.86,113,0.11,20,0.02
50,Manhattan,11604.0,8422.0,0.73,2210,0.19,837,0.07
51,Manhattan,4823.0,3873.0,0.8,621,0.13,285,0.06
52,Manhattan,1278.0,736.0,0.58,319,0.25,203,0.16
53,Manhattan,15149.0,11559.0,0.76,2512,0.17,919,0.06
54,Manhattan,16703.0,13493.0,0.81,1068,0.06,1813,0.11
55,Manhattan,8921.0,7612.0,0.85,431,0.05,748,0.08
56,Manhattan,7782.0,5881.0,0.76,637,0.08,1065,0.14
57,Manhattan,76.0,49.0,0.64,10,0.13,16,0.21
58,Manhattan,4194.0,3229.0,0.77,353,0.08,514,0.12
59,Manhattan,7823.0,6015.0,0.77,501,0.06,1106,0.14
60,Manhattan,2329.0,2150.0,0.92,69,0.03,95,0.04
61,Manhattan,1955.0,1754.0,0.9,115,0.06,73,0.04
62,Manhattan,326.0,296.0,0.91,20,0.06,9,0.03
63,Manhattan,13821.0,11748.0,0.85,579,0.04,1336,0.1
64,Manhattan,2882.0,1745.0,0.61,489,0.17,477,0.17
65,Manhattan,15431.0,13050.0,0.85,873,0.06,1259,0.08
66,Manhattan,1272.0,443.0,0.35,195,0.15,554,0.44
67,Manhattan,1007.0,937.0,0.93,22,0.02,42,0.04
68,Manhattan,11579.0,9291.0,0.8,710,0.06,1312,0.11
69,Manhattan,5124.0,4202.0,0.82,358,0.07,501,0.1
70,Manhattan,1282.0,837.0,0.65,121,0.09,296,0.23
71,Manhattan,15421.0,12656.0,0.82,947,0.06,1517,0.1
72,Manhattan,16427.0,12843.0,0.78,2292,0.14,1113,0.07
73,Manhattan,8884.0,7382.0,0.83,966,0.11,460,0.05
74,Manhattan,7543.0,5461.0,0.72,1326,0.18,653,0.09
75,Manhattan,83.0,66.0,0.8,13,0.16,4,0.05
76,Manhattan,4032.0,2989.0,0.74,705,0.17,288,0.07
77,Manhattan,7668.0,5654.0,0.74,1224,0.16,677,0.09
78,Manhattan,2273.0,2045.0,0.9,135,0.06,87,0.04
79,Manhattan,2065.0,1828.0,0.89,186,0.09,42,0.02
80,Manhattan,306.0,261.0,0.85,29,0.09,15,0.05
81,Manhattan,13613.0,11256.0,0.83,1440,0.11,812,0.06
82,Manhattan,2814.0,1587.0,0.56,852,0.3,301,0.11
